,s,date,time,open,high,low,close,volume,volume_tf
0,ok,2022-11-11,09:15:00,42350.0,42350.0,42184.05,42224.9,343725,True
1,ok,2022-11-11,09:18:00,42221.1,42248.3,42191.8,42248.3,96225,True
2,ok,2022-11-11,09:21:00,42244.9,42247.35,42190.0,42195.1,70925,True
3,ok,2022-11-11,09:24:00,42196.1,42218.95,42196.15,42203.2,60375,True
4,ok,2022-11-11,09:27:00,42203.4,42209.15,42171.9,42176.6,72425,True
5,ok,2022-11-11,09:30:00,42185.0,42242.1,42176.65,42231.0,61450,True
6,ok,2022-11-11,09:33:00,42228.8,42233.45,42157.0,42178.8,59475,True
7,ok,2022-11-11,09:36:00,42171.2,42204.85,42156.1,42167.6,40375,False
8,ok,2022-11-11,09:39:00,42169.3,42177.0,42141.25,42157.9,41950,False
9,ok,2022-11-11,09:42:00,42153.9,42171.4,42131.2,42133.1,30750,False
10,ok,2022-11-11,09:45:00,42135.4,42157.85,42126.65,42147.1,30900,False
11,ok,2022-11-11,09:48:00,42150.0,42217.5,42136.0,42217.5,44350,False
12,ok,2022-11-11,09:51:00,42217.4,42226.45,42182.1,42185.6,42150,False
13,ok,2022-11-11,09:54:00,42192.6,42200.0,42158.8,42162.0,15775,False
14,ok,2022-11-11,09:57:00,42165.0,42174.0,42134.9,42137.9,21300,False
15,ok,2022-11-11,10:00:00,42141.4,42190.0,42140.7,42170.0,21325,False
16,ok,2022-11-11,10:03:00,42170.0,42179.0,42145.0,42161.1,12975,False
17,ok,2022-11-11,10:06:00,42152.4,42165.0,42147.8,42154.5,11150,False
18,ok,2022-11-11,10:09:00,42154.5,42181.95,42145.0,42169.6,18400,False
19,ok,2022-11-11,10:12:00,42166.4,42184.05,42166.35,42176.1,9625,False
20,ok,2022-11-11,10:15:00,42174.0,42187.6,42165.1,42186.0,25325,False
21,ok,2022-11-11,10:18:00,42175.3,42184.6,42148.25,42166.4,23575,False
22,ok,2022-11-11,10:21:00,42167.1,42167.1,42106.0,42139.9,43350,False
23,ok,2022-11-11,10:24:00,42130.1,42143.0,42120.05,42120.1,14150,False
24,ok,2022-11-11,10:27:00,42118.9,42131.7,42107.65,42117.6,19625,False
25,ok,2022-11-11,10:30:00,42110.1,42114.75,42053.4,42069.0,61425,True
26,ok,2022-11-11,10:33:00,42069.0,42100.85,42060.2,42100.9,17875,False
27,ok,2022-11-11,10:36:00,42099.4,42119.0,42092.8,42114.4,24100,False
28,ok,2022-11-11,10:39:00,42104.9,42104.85,42077.05,42092.4,23850,False
29,ok,2022-11-11,10:42:00,42092.4,42111.85,42090.2,42110.0,7500,False
30,ok,2022-11-11,10:45:00,42102.1,42141.0,42090.0,42135.7,36225,False
31,ok,2022-11-11,10:48:00,42135.0,42155.9,42132.1,42147.2,30550,False
32,ok,2022-11-11,10:51:00,42140.1,42176.85,42140.0,42172.6,77175,True
33,ok,2022-11-11,10:54:00,42175.4,42226.25,42172.15,42224.4,128525,True
34,ok,2022-11-11,10:57:00,42225.3,42245.05,42205.05,42228.8,87625,True
35,ok,2022-11-11,11:00:00,42229.2,42235.75,42210.3,42217.0,45125,False
36,ok,2022-11-11,11:03:00,42215.4,42254.8,42204.6,42233.4,36100,False
37,ok,2022-11-11,11:06:00,42233.9,42239.05,42195.35,42211.9,20375,False
38,ok,2022-11-11,11:09:00,42204.1,42220.4,42182.9,42211.2,17150,False
39,ok,2022-11-11,11:12:00,42205.1,42216.0,42194.4,42216.0,12350,False
40,ok,2022-11-11,11:15:00,42216.0,42229.45,42210.0,42223.2,24325,False
41,ok,2022-11-11,11:18:00,42229.0,42243.9,42215.65,42223.9,22200,False
42,ok,2022-11-11,11:21:00,42223.9,42239.1,42205.15,42238.5,13450,False
43,ok,2022-11-11,11:24:00,42238.5,42241.05,42210.0,42236.2,26250,False
44,ok,2022-11-11,11:27:00,42226.2,42248.8,42220.25,42248.8,32125,False
45,ok,2022-11-11,11:30:00,42244.1,42244.1,42213.15,42233.0,28375,False
46,ok,2022-11-11,11:33:00,42235.9,42261.0,42228.5,42254.3,35250,False
47,ok,2022-11-11,11:36:00,42250.0,42263.4,42240.05,42246.0,18025,False
48,ok,2022-11-11,11:39:00,42246.0,42255.35,42231.2,42232.9,21900,False
49,ok,2022-11-11,11:42:00,42235.0,42254.65,42233.1,42245.0,7850,False
50,ok,2022-11-11,11:45:00,42245.0,42251.9,42227.0,42248.6,15825,False
51,ok,2022-11-11,11:48:00,42248.3,42300.0,42244.25,42296.6,66200,True
52,ok,2022-11-11,11:51:00,42299.3,42309.85,42290.3,42300.0,39850,False
53,ok,2022-11-11,11:54:00,42304.9,42322.35,42295.45,42310.0,38150,False
54,ok,2022-11-11,11:57:00,42314.2,42330.0,42310.0,42322.8,37825,False
55,ok,2022-11-11,12:00:00,42323.9,42328.3,42299.8,42303.9,34300,False
56,ok,2022-11-11,12:03:00,42303.8,42321.9,42295.6,42303.0,19950,False
57,ok,2022-11-11,12:06:00,42303.1,42316.2,42300.55,42308.4,15275,False
58,ok,2022-11-11,12:09:00,42301.6,42316.5,42280.05,42281.4,23325,False
59,ok,2022-11-11,12:12:00,42280.8,42302.8,42280.8,42291.2,14200,False
60,ok,2022-11-11,12:15:00,42297.2,42386.95,42288.8,42369.1,121400,True
61,ok,2022-11-11,12:18:00,42367.1,42404.25,42366.85,42387.0,75850,True
62,ok,2022-11-11,12:21:00,42387.2,42393.95,42362.65,42380.6,25600,False
63,ok,2022-11-11,12:24:00,42380.6,42423.0,42378.95,42419.6,49700,False
64,ok,2022-11-11,12:27:00,42419.0,42420.0,42390.1,42412.2,31075,False
65,ok,2022-11-11,12:30:00,42413.1,42419.25,42399.0,42400.4,24350,False
66,ok,2022-11-11,12:33:00,42395.0,42438.7,42392.05,42412.0,32825,False
67,ok,2022-11-11,12:36:00,42406.9,42425.0,42398.0,42418.9,21500,False
68,ok,2022-11-11,12:39:00,42413.4,42431.1,42399.05,42415.1,37775,False
69,ok,2022-11-11,12:42:00,42416.6,42422.75,42400.1,42402.0,19675,False
70,ok,2022-11-11,12:45:00,42405.0,42408.3,42388.4,42398.1,17675,False
71,ok,2022-11-11,12:48:00,42393.8,42410.0,42372.0,42405.1,22725,False
72,ok,2022-11-11,12:51:00,42402.0,42427.0,42362.5,42362.8,20525,False
